@relation matches
@attribute homeodds  real
@attribute drawodds  real
@attribute awayodds  real
@attribute avggoalshome  real
@attribute avggoalsaway  real
@attribute avgsothome  real
@attribute avgsotaway  real
@attribute class {0,1}

@data
'2.63','3.4','2.88',4.000,5.000,7.000,8.000,1
'3.1','3.5','2.4',5.000,4.000,8.000,7.000,1
'2.9','3.5','2.55',6.500,2.000,14.000,8.000,1
'2.8','3.5','2.63',5.000,7.000,13.500,14.500,1
'2.25','3.5','3.4',5.500,3.000,9.000,8.000,1
'2.3','3.4','3.3',3.500,5.000,9.000,8.500,1
'3.8','3.5','2.1',2.500,3.000,11.500,7.500,1
'2.2','3.5','3.5',2.500,4.500,5.500,11.500,1
'2.5','3.4','3.0',3.667,3.000,10.333,7.667,1
'2.05','3.5','4.0',1.667,5.333,7.000,13.000,1
'2.45','3.4','3.1',5.000,2.500,13.000,13.000,0
'2.55','3.5','2.88',4.000,2.500,8.250,7.500,1
'2.38','3.4','3.2',3.333,4.250,8.000,14.000,1
'2.8','3.4','2.7',2.750,5.000,10.750,12.000,1
'1.95','3.5','4.33',3.750,4.500,8.750,9.750,1
'2.25','3.5','3.4',2.400,3.400,8.200,8.600,1
'3.0','3.5','2.45',4.400,3.500,11.600,12.400,1
'2.88','3.4','2.6',3.500,2.200,9.167,6.333,1
'2.15','3.5','3.6',3.000,3.167,9.333,7.167,1
'2.6','3.4','2.9',2.333,3.000,6.833,8.000,1
'2.1','3.5','3.8',3.500,4.000,8.500,8.000,1
'2.05','3.5','4.0',3.143,2.286,8.571,7.143,0
'3.2','3.4','2.4',2.143,3.714,9.857,11.143,1
'3.25','3.5','2.3',3.000,3.286,11.000,10.286,1
'2.4','3.4','3.2',3.286,3.714,11.571,8.286,1
'3.6','3.5','2.15',2.857,4.714,9.286,12.143,1
'2.2','3.4','3.2',2.857,3.714,7.571,9.857,1
'3.2','3.4','2.38',2.800,3.400,9.800,10.000,1
'2.5','3.4','3.0',3.500,2.750,7.875,7.875,1
'2.25','3.5','3.4',3.000,2.571,8.714,8.571,1
'2.6','3.4','2.88',2.750,3.125,9.000,11.125,1
'2.4','3.5','3.1',3.250,2.750,9.625,10.250,1
'2.4','3.5','3.1',2.750,3.125,7.500,9.750,1
'2.5','3.4','3.0',3.500,3.125,8.250,9.375,1
'2.4','3.5','3.1',4.750,2.750,11.875,7.500,1
'2.9','3.5','2.5',2.889,3.222,8.000,10.222,1
'2.3','3.5','3.3',3.000,2.556,8.889,7.667,1
'2.88','3.4','2.63',2.667,3.100,8.889,8.889,1
'2.9','3.4','2.6',3.000,3.333,8.222,9.667,1
'2.55','3.5','2.88',2.889,3.778,9.778,10.222,1
'2.5','3.4','3.0',3.200,2.900,9.900,8.500,1
'2.5','3.4','3.0',2.700,2.900,9.000,9.100,1
'2.5','3.4','3.0',3.000,2.545,7.818,8.727,1
'2.15','3.5','3.6',3.100,2.727,10.000,10.400,1
'3.25','3.5','2.3',3.182,3.600,9.091,9.091,1
'2.1','3.5','3.8',2.909,2.818,8.364,8.727,1
'3.0','3.4','2.5',3.364,2.667,9.727,8.727,1
'2.38','3.5','3.1',3.000,2.583,8.917,7.333,1
'2.4','3.5','3.1',2.917,3.091,9.833,10.417,1
'2.55','3.5','2.88',3.583,2.545,8.750,8.083,1
'3.0','3.5','2.45',2.583,3.333,9.083,9.167,1
'3.4','3.5','2.25',3.083,2.769,11.583,8.250,1
'2.88','3.5','2.55',2.667,3.000,8.500,9.667,1
'3.3','3.5','2.3',2.615,2.917,7.308,9.462,1
'2.38','3.4','3.2',2.375,3.625,8.875,9.625,1
'3.0','3.4','2.5',2.923,2.692,11.538,8.385,1
'2.3','3.5','3.3',3.222,2.778,10.111,10.444,1
'2.4','3.4','3.2',2.692,3.385,7.615,9.077,1
'2.5','3.4','3.0',3.615,2.385,8.308,7.923,1
'2.2','3.5','3.5',3.538,2.857,9.077,9.000,1
'2.9','3.4','2.6',2.846,2.571,9.923,8.462,1
'3.4','3.5','2.25',3.071,2.714,8.929,9.643,0
'2.25','3.4','3.5',2.929,2.846,10.143,8.357,1
'2.4','3.5','3.1',3.429,2.714,8.786,9.429,1
'2.2','3.5','3.5',3.357,2.692,8.357,8.571,0
'2.63','3.5','2.8',3.214,3.071,9.000,9.786,1
'2.35','3.5','3.2',3.000,3.100,9.400,10.200,1
'3.1','3.4','2.45',2.800,2.667,8.667,9.333,1
'3.75','3.5','2.1',2.333,3.267,10.200,9.067,1
'2.9','3.4','2.6',2.533,2.867,7.267,9.067,1
'3.2','3.4','2.38',2.933,3.333,8.267,8.733,1
'2.7','3.4','2.5',2.533,3.733,9.600,10.267,1
'2.9','3.5','2.55',3.400,3.467,8.533,8.733,1
'2.7','3.5','2.7',2.867,2.600,7.467,8.533,1
'2.5','3.4','3.0',2.667,3.267,7.333,9.200,1
'2.2','3.4','3.6',2.857,2.533,8.571,8.214,1
'3.2','3.5','2.35',3.000,3.063,9.000,10.188,1
'2.75','3.4','2.75',2.813,2.800,9.563,7.625,1
'2.15','3.5','3.6',2.933,2.750,7.867,10.667,1
'2.38','3.5','3.1',3.250,3.063,9.000,9.375,1
'3.1','3.5','2.4',3.118,3.118,8.529,9.353,1
'2.6','3.5','2.8',3.000,2.563,7.938,8.625,1
'2.25','3.4','3.5',3.250,2.375,9.313,7.688,1
'2.3','3.5','3.25',3.118,3.944,8.235,10.824,1
'2.2','3.5','3.5',3.000,2.444,8.444,9.944,1
'2.25','3.4','3.5',2.706,2.833,8.235,10.824,1
'2.2','3.5','3.5',2.471,3.000,8.235,9.353,0
'3.4','3.5','2.25',3.118,2.706,7.353,9.176,1
'2.45','3.5','3.0',2.556,3.111,8.778,9.000,1
'2.5','3.4','3.0',2.556,2.833,7.611,9.444,1
'3.4','3.5','2.25',2.824,2.778,8.765,9.529,1
'2.2','3.3','3.75',2.684,2.947,11.211,9.316,1
'2.45','3.5','3.0',3.158,2.632,8.421,8.895,1
'2.1','3.5','3.8',2.684,2.842,8.737,7.842,0
'2.7','3.4','2.8',2.789,3.105,9.895,9.421,1
'2.7','3.4','2.8',3.053,2.842,8.632,8.895,1
'2.15','3.5','3.6',2.684,3.000,8.368,8.789,1
'2.15','3.5','3.6',2.947,2.684,9.842,7.737,1
'2.45','3.5','3.0',2.700,2.900,7.900,9.450,1
'2.8','3.4','2.7',3.250,3.050,7.750,8.950,1
'2.38','3.4','3.25',2.632,3.100,8.211,9.000,1
'2.63','3.4','2.88',2.810,3.050,11.333,8.524,1
'2.6','3.5','2.8',3.050,3.950,8.650,10.050,1
'2.38','3.4','3.25',3.125,3.125,9.688,9.188,0
'2.05','3.5','4.0',2.588,3.000,9.235,9.706,1
'3.2','3.4','2.2',2.333,3.429,7.762,9.000,1
'2.7','3.2','2.6',2.762,3.000,9.667,9.190,1
'2.3','3.5','2.88',3.905,2.524,10.333,9.762,1
'2.5','3.25','2.8',2.476,3.100,8.571,8.286,1
'2.2','3.4','3.2',3.000,2.773,10.000,11.952,1
'2.2','3.5','3.5',2.833,3.556,8.944,11.056,1
'2.6','3.4','2.6',3.091,2.682,8.591,7.955,1
'2.63','3.4','2.55',2.636,3.227,8.727,7.773,0
'2.1','3.4','3.5',2.909,2.500,8.818,8.864,1
'2.6','3.4','2.6',2.682,3.136,9.545,9.273,1
'1.91','3.4','4.0',2.591,3.048,8.500,8.182,1
'1.85','3.5','4.2',2.909,2.682,9.091,7.545,1
'2.05','3.4','3.5',2.591,2.864,10.182,8.955,1
'1.85','3.5','4.2',4.000,2.524,10.591,7.364,1
'3.0','3.4','2.3',3.000,2.909,9.955,9.091,1
'2.6','3.4','2.88',2.579,2.789,8.053,9.368,1
'2.4','3.4','3.2',2.565,2.913,8.174,8.913,1
'2.75','3.4','2.75',2.870,2.696,8.913,8.348,1
'2.55','3.5','2.9',2.708,2.652,11.208,9.083,1
'3.0','3.4','2.5',2.696,2.652,10.087,8.391,1
'2.5','3.4','3.0',2.667,3.000,9.542,8.833,1
'2.45','3.4','3.1',2.500,3.000,10.333,9.958,1
'2.3','3.5','3.3',3.087,2.750,9.217,10.478,1
'2.75','3.4','2.75',3.000,2.708,9.040,8.640,1
'2.8','3.4','2.7',3.040,2.680,7.800,8.120,1
'2.75','3.4','2.75',2.958,3.042,9.333,8.875,1
'3.6','3.5','2.15',3.000,3.040,9.808,8.692,1
'2.7','3.4','2.8',3.000,2.400,10.000,7.760,1
'2.2','3.5','3.5',2.440,3.920,7.840,10.640,1
'2.45','3.4','3.1',2.680,2.731,7.560,11.360,1
'2.63','3.4','2.88',2.462,3.231,8.462,8.577,1
'2.6','3.5','2.8',2.962,2.963,8.577,9.346,1
'2.4','3.4','3.2',2.962,2.600,7.808,7.731,1
'3.6','3.4','2.2',3.130,2.522,10.261,7.870,1
'3.0','3.4','2.5',2.926,2.750,7.852,9.333,1
'2.45','3.5','3.0',2.964,2.923,9.929,9.143,1
'2.6','3.5','2.8',3.071,3.037,9.607,8.821,1
'2.25','3.4','3.5',3.000,2.607,9.071,8.107,1
'2.4','3.5','3.1',3.071,3.778,9.321,10.143,1
'2.2','3.5','3.5',2.615,3.034,7.731,11.115,1
'2.25','3.5','3.4',2.750,2.893,8.179,9.071,1
'3.2','3.4','2.38',2.519,2.786,10.222,8.111,1
'2.2','3.5','3.5',2.571,2.897,9.714,9.179,1
'3.25','3.4','2.38',2.900,3.750,11.533,9.833,1
